run,model,loss,ratio,pr_auc,f1,f2,mcc,precision,recall,recall_at_90pct_precision,cv_n_folds,cv_pr_auc_mean,cv_pr_auc_std,cv_f1_mean,cv_f1_std,cv_mcc_mean,cv_mcc_std,cv_recall_at_90pct_prec_mean,cv_recall_at_90pct_prec_std
mlp_bce_1to1,mlp,bce,1to1,0.7486943244753341,0.1506373117033603,0.2995391705069124,0.2660447561490682,0.082382762991128,0.8783783783783784,0.4864864864864865,7,0.6079369237798121,0.1740062109330344,0.1213497560808207,0.0223893300209696,0.2380835680489921,0.024859876334327,0.1668280871670702,0.2408694110263354
mlp_bce_1to10,mlp,bce,1to10,0.7695105599690114,0.5833333333333334,0.7191780821917808,0.6137352316874338,0.4436619718309859,0.8513513513513513,0.7972972972972973,7,0.7593288779366957,0.0404360222787595,0.6092231366185937,0.0936562015350978,0.641292526050586,0.0722800641683241,0.3261904761904762,0.4068689322648364
mlp_bce_1to100,mlp,bce,1to100,0.7614402600591058,0.8163265306122449,0.8130081300813008,0.8160289513045731,0.821917808219178,0.8108108108108109,0.7702702702702703,7,0.7810502938202577,0.0392186194639125,0.8077312879735076,0.0510185546881151,0.8083156449866225,0.0502462952097145,0.5080306698950767,0.2708853896864329
mlp_bce_full,mlp,bce,full,0.8314780745286188,0.8345323741007195,0.8033240997229917,0.8360238735283345,0.8923076923076924,0.7837837837837838,0.7297297297297297,7,0.8373177940412536,0.0405014534020743,0.8225372329408742,0.0336697849775297,0.8245436482161658,0.0328149617264919,0.6855528652138821,0.1690399216307974
mlp_weighted_bce_1to1,mlp,weighted_bce,1to1,0.6841896330948072,0.143658810325477,0.2875112309074573,0.2572240975403074,0.0783353733170134,0.8648648648648649,0.2297297297297297,7,0.6465630099367562,0.1053555002042879,0.1143007541935513,0.0172806675376992,0.2310801841643301,0.017567475254958,0.1316787732041969,0.119206075035147
mlp_weighted_bce_1to10,mlp,weighted_bce,1to10,0.7457321424556903,0.1266073194856577,0.259529602595296,0.2397346639066371,0.0683030949839914,0.8648648648648649,0.7027027027027027,7,0.7509290138828305,0.035888247091405,0.1602077979523046,0.0341618943191218,0.2775164417623378,0.032616317482795,0.3023809523809523,0.379745110839296
mlp_weighted_bce_1to100,mlp,weighted_bce,1to100,0.7693038450849827,0.2950819672131147,0.485362095531587,0.38795367781236,0.178470254957507,0.8513513513513513,0.8108108108108109,7,0.7315271176754686,0.0441486504516109,0.3159958806109738,0.0669500642954568,0.4107610106661711,0.053276740520922,0.238095238095238,0.3324591712212201
mlp_weighted_bce_full,mlp,weighted_bce,full,0.763698169091457,0.5765765765765766,0.7207207207207207,0.6106891287594022,0.4324324324324324,0.8648648648648649,0.7297297297297297,7,0.756137251418189,0.0509040737484934,0.6513098003734333,0.1067573648367977,0.6743935076019865,0.0877155074393214,0.2957627118644068,0.2844254038152568
mlp_focal_1to1,mlp,focal,1to1,0.7290237603474081,0.1275720164609053,0.2596314907872696,0.2371879204923289,0.0690423162583518,0.8378378378378378,0.6081081081081081,7,0.5578441417916816,0.14546317810388,0.1081353069322456,0.0207989332679294,0.2254283534865321,0.0250851284117918,0.086319612590799,0.1311387607113912
mlp_focal_1to10,mlp,focal,1to10,0.7577987155332498,0.1869436201780415,0.3515625,0.2963962737242309,0.105,0.8513513513513513,0.7432432432432432,7,0.7595199523268664,0.0495220228642689,0.1557743253658432,0.0331354304280524,0.2727652578597201,0.0300081125596038,0.4006456820016142,0.3611942408171236
mlp_focal_1to100,mlp,focal,1to100,0.7492329945517574,0.2034976152623211,0.3760282021151586,0.3133722744106589,0.1153153153153153,0.8648648648648649,0.7567567567567568,7,0.7520899454166433,0.0556215423952804,0.163444158969483,0.0325381106767479,0.280646765335193,0.0323134425161978,0.3483050847457627,0.2788161351691843
mlp_focal_full,mlp,focal,full,0.7733073863586204,0.1264822134387351,0.2593192868719611,0.2396030530352425,0.068230277185501,0.8648648648648649,0.7837837837837838,7,0.7494299004156163,0.047272558812499,0.0964897910258898,0.0212848569702407,0.2099118161250547,0.0228963112967663,0.2529862792574657,0.184889674905658
mlp_attention_bce_1to1,mlp_attention,bce,1to1,0.7719473922367167,0.1307847082494969,0.2672697368421052,0.2458823291063595,0.0706521739130434,0.8783783783783784,0.6621621621621622,7,0.7226976354071015,0.059440925033157,0.0950976294911474,0.0148340619147522,0.2098782213948591,0.0170005613754544,0.3991121872477804,0.2803615713599139
mlp_attention_bce_1to10,mlp_attention,bce,1to10,0.7923059904204885,0.490272373540856,0.6576200417536534,0.5402777882641014,0.3442622950819672,0.8513513513513513,0.7837837837837838,7,0.7260486602421486,0.0386811050717529,0.573914844848956,0.0848501868341239,0.6124981018420611,0.0645932431874099,0.0957627118644067,0.0615616165839433
mlp_attention_bce_1to100,mlp_attention,bce,1to100,0.825736113851018,0.8163265306122449,0.8130081300813008,0.8160289513045731,0.821917808219178,0.8108108108108109,0.7837837837837838,7,0.7786571002669611,0.0507320928296388,0.8006968052253106,0.0441646223848999,0.80096407592781,0.0440152547612661,0.4747780468119452,0.2125808172618313
mlp_attention_bce_full,mlp_attention,bce,full,0.812975478324844,0.8368794326241135,0.8126721763085399,0.837646778342761,0.8805970149253731,0.7972972972972973,0.7972972972972973,7,0.8316180993756526,0.0419597979819947,0.8194553088436816,0.0414425780649101,0.8194823511699008,0.0413295922054529,0.7221549636803875,0.0960718996258605
mlp_attention_weighted_bce_1to1,mlp_attention,weighted_bce,1to1,0.7871257316899541,0.1842496285289747,0.3463687150837989,0.2918608012651174,0.1035058430717863,0.8378378378378378,0.7837837837837838,7,0.7332746274713166,0.0664687301134688,0.0949223386460234,0.0132647272259377,0.2089807040424661,0.0150707217381891,0.3514931396287328,0.2464510628855548
mlp_attention_weighted_bce_1to10,mlp_attention,weighted_bce,1to10,0.8024797030718377,0.1326315789473684,0.2687713310580205,0.2442080456797996,0.071917808219178,0.8513513513513513,0.7837837837837838,7,0.7333646293602544,0.0574457644163691,0.1730382466667522,0.0384764843350846,0.2901366656769548,0.033738829569561,0.1529862792574657,0.1533745572283611
mlp_attention_weighted_bce_1to100,mlp_attention,weighted_bce,1to100,0.7570262959072596,0.4671532846715328,0.6451612903225806,0.5249130098613296,0.32,0.8648648648648649,0.6351351351351351,7,0.7169650282178754,0.0634846847078978,0.324571251163512,0.0681783958865729,0.4169110515610167,0.0570663191104594,0.1336561743341404,0.1631852085035341
mlp_attention_weighted_bce_full,mlp_attention,weighted_bce,full,0.7885505355539311,0.6630434782608695,0.7512315270935961,0.6754532067932357,0.5545454545454546,0.8243243243243243,0.7297297297297297,7,0.7742486522093344,0.0790508775473742,0.6600719165701527,0.0386596937333733,0.6787202898514891,0.0327255512399871,0.4260694108151735,0.2278414351120534
mlp_attention_focal_full,mlp_attention,focal,full,0.8154444927892266,0.0960240060015003,0.2057877813504823,0.2057628123759315,0.0508339952343129,0.8648648648648649,0.7972972972972973,7,0.7619506919368967,0.0563882142498318,0.1044522667469037,0.0360272060056503,0.2174827713122475,0.0366363578122088,0.4727602905569007,0.262504365797615
